Algorithm,InputSize,Run,Time(μs),Energy(J)
bubble,20,1,1488,2.6628
bubble,20,2,14,0.0216
bubble,20,3,14,0.0220
bubble,20,4,12,0.0271
bubble,20,5,14,0.0341
bubble,20,6,12,0.0111
bubble,20,7,32,0.0321
bubble,20,8,11,0.0066
bubble,20,9,13,0.0193
bubble,20,10,12,0.0296
bubble,20,11,12,0.0139
bubble,20,12,11,0.0176
bubble,20,13,11,0.0111
bubble,20,14,10,0.0227
bubble,20,15,15,0.0259
bubble,20,16,12,0.0159
bubble,20,17,14,0.0145
bubble,20,18,10,0.0155
bubble,20,19,9,0.0183
bubble,20,20,12,0.0151
bubble,20,21,10,0.0191
bubble,20,22,9,0.0192
bubble,20,23,8,0.0128
bubble,20,24,8,0.0116
bubble,20,25,12,0.0263
bubble,20,26,11,0.0264
bubble,20,27,10,0.0214
bubble,20,28,11,0.0241
bubble,20,29,10,0.0224
bubble,20,30,11,0.0175
bubble,20,31,10,0.0058
bubble,20,32,10,0.0146
bubble,20,33,9,0.0211
bubble,20,34,9,0.0194
bubble,20,35,9,0.0165
bubble,20,36,8,0.0101
bubble,20,37,9,0.0084
bubble,20,38,7,0.0090
bubble,20,39,7,0.0170
bubble,20,40,10,0.0180
bubble,20,41,20,0.0486
bubble,20,42,9,0.0079
bubble,20,43,10,0.0246
bubble,20,44,9,0.0056
bubble,20,45,10,0.0186
bubble,20,46,10,0.0065
bubble,20,47,8,0.0196
bubble,20,48,8,0.0163
bubble,20,49,9,0.0053
bubble,20,50,8,0.0111
bubble,20,51,9,0.0160
bubble,20,52,8,0.0155
bubble,20,53,9,0.0210
bubble,20,54,12,0.0099
bubble,20,55,9,0.0097
bubble,20,56,9,0.0181
bubble,20,57,9,0.0074
bubble,20,58,9,0.0109
bubble,20,59,12,0.0290
bubble,20,60,9,0.0083
bubble,20,61,9,0.0213
bubble,20,62,9,0.0101
bubble,20,63,9,0.0177
bubble,20,64,10,0.0093
bubble,20,65,9,0.0205
bubble,20,66,9,0.0059
bubble,20,67,9,0.0208
bubble,20,68,9,0.0050
bubble,20,69,10,0.0056
bubble,20,70,9,0.0112
bubble,20,71,9,0.0145
bubble,20,72,9,0.0057
bubble,20,73,9,0.0134
bubble,20,74,10,0.0137
bubble,20,75,9,0.0216
bubble,20,76,9,0.0114
bubble,20,77,9,0.0114
bubble,20,78,9,0.0187
bubble,20,79,10,0.0201
bubble,20,80,9,0.0197
bubble,20,81,9,0.0187
bubble,20,82,9,0.0050
bubble,20,83,9,0.0117
bubble,20,84,10,0.0158
bubble,20,85,9,0.0158
bubble,20,86,9,0.0195
bubble,20,87,8,0.0043
bubble,20,88,8,0.0073
bubble,20,89,9,0.0120
bubble,20,90,7,0.0162
bubble,20,91,7,0.0103
bubble,20,92,7,0.0044
bubble,20,93,8,0.0080
bubble,20,94,9,0.0164
bubble,20,95,9,0.0138
bubble,20,96,8,0.0150
bubble,20,97,9,0.0099
bubble,20,98,10,0.0204
bubble,20,99,9,0.0140
bubble,20,100,9,0.0065
bubble,20,101,9,0.0169
bubble,20,102,9,0.0092
bubble,20,103,11,0.0076
bubble,20,104,22,0.0490
bubble,20,105,9,0.0131
bubble,20,106,9,0.0218
bubble,20,107,9,0.0197
bubble,20,108,11,0.0068
bubble,20,109,9,0.0121
bubble,20,110,9,0.0164
bubble,20,111,8,0.0146
bubble,20,112,8,0.0098
bubble,20,113,11,0.0183
bubble,20,114,9,0.0193
bubble,20,115,9,0.0111
bubble,20,116,9,0.0058
bubble,20,117,9,0.0138
bubble,20,118,15,0.0089
bubble,20,119,10,0.0211
bubble,20,120,9,0.0118
bubble,20,121,9,0.0151
bubble,20,122,9,0.0059
bubble,20,123,10,0.0064
bubble,20,124,9,0.0114
bubble,20,125,9,0.0097
bubble,20,126,9,0.0169
bubble,20,127,8,0.0183
bubble,20,128,11,0.0241
bubble,20,129,9,0.0169
bubble,20,130,8,0.0086
bubble,20,131,9,0.0162
bubble,20,132,6,0.0072
bubble,20,133,3,0.0025
bubble,20,134,3,0.0061
bubble,20,135,2,0.0020
bubble,20,136,4,0.0091
bubble,20,137,3,0.0037
bubble,20,138,3,0.0055
bubble,20,139,3,0.0023
bubble,20,140,3,0.0057
